Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,KMeans_Cluster,HC_Cluster,DBSCAN_Cluster,Cluster_Name
Afghanistan,0.042248668644271514,8.108739005076828,2.6820747146989494,9.57073837671504,23.038896969595694,0.08356313092447701,4.0362807612673395,0.07952186199780199,0.022814677766171347,0.13224210030579742,4.090490992906111,4.049776242742224,0.2564295289476765,0.3989826035426564,0.397949758997214,0.020556490882579406,17.05023058862043,0.2093878353123614,19.956389312922553,19.559499456300486,0,1,-1,Low Developed
Albania,0.014585421405246022,8.437050478742368,3.206491765668479,7.997249198313409,22.908813894783417,0.05964676830788065,5.1348930499354495,0.017613203598737207,0.17589066646366422,0.1331178455872714,4.3849070975392355,4.30406509320417,0.4456715285862049,0.22982884715049745,0.503010550089335,0.08427044457682603,14.89963379571353,0.3910540738634574,20.876184990382622,20.730317837116782,1,0,-1,Moderately Developed
Algeria,0.0218367561476341,11.388830725428955,3.26693311982198,10.389839981945498,25.502717791793675,0.03774032798284703,4.904134527459698,0.027390658145220244,0.06693948267510934,0.07994802863540473,4.285176808683964,4.239665162601087,0.40032370860774574,0.2567271037155322,0.5086694547495255,0.043280508358462394,17.36399722172184,0.4978339033420644,19.433120468204717,19.92765991164438,3,3,-1,Developing
American Samoa,0.019878039233925192,9.051344640485725,3.295836866004329,9.57073837671504,23.436618790804065,0.05921185963184608,5.267858159063328,0.019802627296179712,0.09531017980432487,0.11332868530700319,4.330733340286331,4.248495242049359,0.26826398659467937,0.2619795750994079,0.4962194713766286,0.050693114315518116,10.959998984416321,0.6312717768418579,20.350025877585416,19.93800336967164,1,0,-1,Moderately Developed
Andorra,0.011244238252930468,7.477647750778791,3.295836866004329,9.57073837671504,22.54948166197898,0.06131216820766586,7.781331200448734,0.002995508979798479,0.39515573844930313,0.11332868530700319,4.330733340286331,4.248495242049359,0.5306282510621704,0.2619795750994079,0.4962194713766286,0.050693114315518116,11.247462404188985,0.6405169604967301,20.350025877585416,19.93800336967164,1,0,-1,Moderately Developed
Angola,0.0471771423371834,9.773440193502058,4.36260854881678,9.269334706319857,24.645169545207406,0.04084660960191691,4.659075450824294,0.10566579546115268,0.03774032798284703,0.21192030582748647,3.9348376831943175,3.8910311108491924,0.2076393647782445,0.3903775014574154,0.40423358085891775,0.02416714622689389,16.6611595117049,0.3146984370716523,19.448099943803218,19.26390438619262,0,1,-1,Low Developed
Antigua and Barbuda,0.01821766149398311,7.418734737068868,3.206491765668479,9.207382154608736,20.766168981073275,0.0452674832919102,6.357975573180296,0.010407195248535672,0.26826398659467937,0.10595264800516818,4.357694534014351,4.292564705083854,0.7492366472109889,0.2443328487147195,0.5015675148104147,0.06938253914639042,11.332893899528072,0.2517758602663294,19.63662012685849,18.1340238002355,1,0,-1,Moderately Developed
Argentina,0.01746203201870631,11.821064362448888,3.448765798581265,11.077151415644309,26.538290566583484,0.08150908763403238,6.377772973098607,0.014888612493750656,0.2384110234449982,0.15390889235726546,4.37913785076799,4.279866121746726,0.5962973545700276,0.23160000222308788,0.4921131712440602,0.0982429379988464,17.47895567462218,0.6431081599707847,22.106478531779665,22.34410010222149,3,3,-1,Developing
Armenia,0.013675296200215466,8.472131452637946,2.9156895658804545,8.105423636596354,22.57657938573322,0.048057294953779306,4.579457822859602,0.019953445485139144,0.11607217125275403,0.18283424585927335,4.353745861558934,4.261595866095057,0.37421256460406,0.1999851458413849,0.5125932912900201,0.10338934340444536,14.916550819795512,0.4948838414989778,19.42863866800198,19.491473745619004,1,0,-1,Moderately Developed
Aruba,0.012004578922164421,8.083352350194954,3.295836866004329,9.57073837671504,21.914466931934335,0.05921185963184608,5.267858159063328,0.019802627296179712,0.325422400434628,0.10629853711656864,4.354734492385874,4.290459441148391,0.653926467406664,0.1948706911254234,0.5270925962298625,0.08681263929388415,11.50153156960207,0.36821578382362513,20.82589184892383,19.289718595169525,1,0,-1,Moderately Developed
Australia,0.01329583275696446,12.630514247925392,2.3287837930634687,11.567786713296986,27.427529838605388,0.08278450763261834,8.183741005233017,0.004604766386748266,0.43577045760349326,0.0791665843445819,4.435385102813694,4.377207348237933,0.6131044728864088,0.17936848281121479,0.514618422004687,0.1226259904512878,16.84971294129374,0.631967116052237,23.861148502648454,23.656971304212686,2,2,-1,Highly Developed
Austria,0.009340853461149053,10.989478214846864,3.26693311982198,10.384806726536313,26.48378470162051,0.1008194513840672,8.323178925170287,0.003992021269537453,0.46518434280978666,0.11332868530700319,4.4262275296596725,4.354734492385874,0.7672551527136672,0.1462292783152043,0.5165935725055651,0.15377698363790787,15.924834094612184,0.5057512323297598,23.62424777400956,23.11831089799232,2,2,-1,Highly Developed
